Anime Name,Link
Arifureta Shokugyou de Sekai Saikyou Season 3,https://anime4up.rest/episode/arifureta-shokugyou-de-sekai-saikyou-season-3-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-13/
Salaryman ga Isekai ni Ittara Shitennou ni Natta Hanashi,https://anime4up.rest/episode/salaryman-ga-isekai-ni-ittara-shitennou-ni-natta-hanashi-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-5/
Watashi no Shiawase na Kekkon 2nd Season,https://anime4up.rest/episode/watashi-no-shiawase-na-kekkon-2nd-season-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-4/
Mahotsukai no Yakusoku,https://anime4up.rest/episode/mahotsukai-no-yakusoku-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-4/
Medalist,https://anime4up.rest/episode/medalist-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-4/
Zenshuu,https://anime4up.rest/episode/zenshuu-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-4/
Sentai Red Isekai de Boukensha ni Naru,https://anime4up.rest/episode/sentai-red-isekai-de-boukensha-ni-naru-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-3/
Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo 2nd Season,https://anime4up.rest/episode/kimi-no-koto-ga-daidaidaidaidaisuki-na-100-nin-no-kanojo-2nd-season-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-3/
Kisaki Kyouiku kara Nigetai Watashi,https://anime4up.rest/episode/kisaki-kyouiku-kara-nigetai-watashi-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-4/
Jibaku Shounen Hanako-kun 2,https://anime4up.rest/episode/jibaku-shounen-hanako-kun-2-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-3/
"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su 2nd Season",https://anime4up.rest/episode/shangri-la-frontier-kusoge-hunter-kamige-ni-idoman-to-su-2nd-season-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-16/
One Piece: Gyojin Tou-hen,https://anime4up.rest/episode/one-piece-gyojin-tou-hen-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-13/
UniteUp! Uni:Birth,https://anime4up.rest/episode/uniteup-unibirth-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-3/
Okinawa de Suki ni Natta Ko ga Hougen Sugite Tsurasugiru,https://anime4up.rest/episode/okinawa-de-suki-ni-natta-ko-ga-hougen-sugite-tsurasugiru-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-4/
