Anime Name,Link
UniteUp! Uni:Birth,https://anime4up.rest/episode/uniteup-unibirth-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-3/
Okinawa de Suki ni Natta Ko ga Hougen Sugite Tsurasugiru,https://anime4up.rest/episode/okinawa-de-suki-ni-natta-ko-ga-hougen-sugite-tsurasugiru-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-4/
Ao no Exorcist: Yosuga-hen,https://anime4up.rest/episode/ao-no-exorcist-yosuga-hen-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-4/
"A-Rank Party wo Ridatsu shita Ore wa, Moto Oshiego-tachi to Meikyuu Shinbu wo Mezasu.",https://anime4up.rest/episode/a-rank-party-wo-ridatsu-shita-ore-wa-moto-oshiego-tachi-to-meikyuu-shinbu-wo-mezasu-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-3/
Sakamoto Days,https://anime4up.rest/episode/sakamoto-days-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-4/
Solo Leveling Season 2: Arise from the Shadow (Ore dake Level Up na Ken Season 2),https://anime4up.rest/episode/solo-leveling-season-2-arise-from-the-shadow-ore-dake-level-up-na-ken-season-2-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-4/
Chi.: Chikyuu no Undou ni Tsuite,https://anime4up.rest/episode/chi-chikyuu-no-undou-ni-tsuite-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-18/
Detective Conan,https://anime4up.rest/episode/detective-conan-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-1151/
Tasokare Hotel,https://anime4up.rest/episode/tasokare-hotel-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-4/
Dragon Ball Daima,https://anime4up.rest/episode/dragon-ball-daima-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-15/
Ubel Blatt,https://anime4up.rest/episode/ubel-blatt-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-3/
"Guild no Uketsukejou desu ga, Zangyou wa Iya nanode Boss wo Solo Toubatsu Shiyou to Omoimasu",https://anime4up.rest/episode/guild-no-uketsukejou-desu-ga-zangyou-wa-iya-nanode-boss-wo-solo-toubatsu-shiyou-to-omoimasu-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-3/
"Tsuma, Shougakusei ni Naru.",https://anime4up.rest/episode/tsuma-shougakusei-ni-naru-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-10/
Seirei Gensouki 2,https://anime4up.rest/episode/seirei-gensouki-2-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-9/
Natsume Yuujinchou Shichi,https://anime4up.rest/episode/natsume-yuujinchou-shichi-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-9/
"Saikyou no Shienshoku ""Wajutsushi"" de Aru Ore wa Sekai Saikyou Clan wo Shitagaeru",https://anime4up.rest/episode/saikyou-no-shienshoku-wajutsushi-de-aru-ore-wa-sekai-saikyou-clan-wo-shitagaeru-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-10/
Arifureta Shokugyou de Sekai Saikyou Season 3,https://anime4up.rest/episode/arifureta-shokugyou-de-sekai-saikyou-season-3-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-8/
Raise wa Tanin ga Ii,https://anime4up.rest/episode/raise-wa-tanin-ga-ii-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-9/
Kamonohashi Ron no Kindan Suiri 2nd Season,https://anime4up.rest/episode/kamonohashi-ron-no-kindan-suiri-2nd-season-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-9/
Hoshifuru Oukoku no Nina,https://anime4up.rest/episode/hoshifuru-oukoku-no-nina-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-9/
Fairy Tail: 100-nen Quest,https://anime4up.rest/episode/fairy-tail-100-nen-quest-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-21/
MF Ghost 2nd Season,https://anime4up.rest/episode/mf-ghost-2nd-season-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-9/
Puniru wa Kawaii Slime,https://anime4up.rest/episode/puniru-wa-kawaii-slime-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-9/
Nageki no Bourei wa Intai shitai,https://anime4up.rest/episode/nageki-no-bourei-wa-intai-shitai-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-10/
Tensei Kizoku Kantei Skill de Nariagaru Part 2,https://anime4up.rest/episode/tensei-kizoku-kantei-skill-de-nariagaru-part-2-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-9/
Kami no Tou: Koubou-sen,https://anime4up.rest/episode/kami-no-tou-koubou-sen-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-9/
"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su 2nd Season",https://anime4up.rest/episode/shangri-la-frontier-kusoge-hunter-kamige-ni-idoman-to-su-2nd-season-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-8/
One Piece: Gyojin Tou-hen,https://anime4up.rest/episode/one-piece-gyojin-tou-hen-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-5/
Ao no Miburo,https://anime4up.rest/episode/ao-no-miburo-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-7/
Ranma1/2 (2024),https://anime4up.rest/episode/ranma1-2-2024-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-9/
Kimi wa Meido-sama.,https://anime4up.rest/episode/kimi-wa-meido-sama-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-9/
Party kara Tsuihou sareta Sono Chiyushi Jitsu wa Saikyou ni Tsuki,https://anime4up.rest/episode/party-kara-tsuihou-sareta-sono-chiyushi-jitsu-wa-saikyou-ni-tsuki-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-9/
Ao no Exorcist: Yuki no Hate-hen,https://anime4up.rest/episode/ao-no-exorcist-yuki-no-hate-hen-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-9/
Maou 2099,https://anime4up.rest/episode/maou-2099-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-8/
Blue Lock vs. U-20 Japan,https://anime4up.rest/episode/blue-lock-vs-u-20-japan-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-9/
Chi.: Chikyuu no Undou ni Tsuite,https://anime4up.rest/episode/chi-chikyuu-no-undou-ni-tsuite-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-10/
"Maou-sama, Retry! R",https://anime4up.rest/episode/maou-sama-retry-r-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-10/
Bleach: Sennen Kessen-hen - Soukoku-tan,https://anime4up.rest/episode/bleach-sennen-kessen-hen-soukoku-tan-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-9/
Touhai: Ura Rate Mahjong Touhai Roku,https://anime4up.rest/episode/touhai-ura-rate-mahjong-touhai-roku-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-8/
Meitantei Conan Movie 27: 100-man Dollar no Michishirube,https://anime4up.rest/episode/%d9%81%d9%8a%d9%84%d9%85-meitantei-conan-movie-27-100-man-dollar-no-michishirube/
The iDOLM STER Shiny Colors 2nd Season,https://anime4up.rest/episode/the-idolm-ster-shiny-colors-2nd-season-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-9/
Mahoutsukai ni Narenakatta Onnanoko no Hanashi,https://anime4up.rest/episode/mahoutsukai-ni-narenakatta-onnanoko-no-hanashi-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-9/
Sword Art Online Alternative: Gun Gale Online II,https://anime4up.rest/episode/sword-art-online-alternative-gun-gale-online-ii-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-9/
Nanatsu no Taizai: Mokushiroku no Yonkishi 2nd Season,https://anime4up.rest/episode/nanatsu-no-taizai-mokushiroku-no-yonkishi-2nd-season-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-7/
Dragon Ball Daima,https://anime4up.rest/episode/dragon-ball-daima-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-8/
Kabushikigaisha Magi-Lumière,https://anime4up.rest/episode/kabushikigaisha-magi-lumiere-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-9/
Ao no Hako,https://anime4up.rest/episode/ao-no-hako-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-10/
Acro Trip,https://anime4up.rest/episode/acro-trip-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-9/
Kamierabi 2nd Season,https://anime4up.rest/episode/kamierabi-2nd-season-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-9/
Rurouni Kenshin: Meiji Kenkaku Romantan - Kyoto Douran,https://anime4up.rest/episode/rurouni-kenshin-meiji-kenkaku-romantan-kyoto-douran-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-9/
Trillion Game,https://anime4up.rest/episode/trillion-game-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-10/
Sayounara Ryuusei Konnichiwa Jinsei,https://anime4up.rest/episode/sayounara-ryuusei-konnichiwa-jinsei-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-9/
Mecha-ude,https://anime4up.rest/episode/mecha-ude-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-9/
"Kekkon suru tte, Hontou desu ka",https://anime4up.rest/episode/kekkon-suru-tte-hontou-desu-ka-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-9/
Dandadan,https://anime4up.rest/episode/dandadan-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-9/
Kinoko Inu,https://anime4up.rest/episode/kinoko-inu-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-9/
NegaPosi Angler,https://anime4up.rest/episode/negaposi-angler-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-9/
Mononoke Movie: Karakasa,https://anime4up.rest/episode/%d9%81%d9%8a%d9%84%d9%85-mononoke-movie-karakasa/
Shi Cao Lao Long Bei Guan Yi E Long Zhi Ming 2nd Season,https://anime4up.rest/episode/shi-cao-lao-long-bei-guan-yi-e-long-zhi-ming-2nd-season-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-9/
Delico's Nursery,https://anime4up.rest/episode/delicos-nursery-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-13-%d9%88%d8%a7%d9%84%d8%a7%d8%ae%d9%8a%d8%b1%d8%a9/
Higeki no Genkyou to Naru Saikyou Gedou Last Boss Joou wa Tami no Tame ni Tsukushimasu.,https://anime4up.rest/episode/higeki-no-genkyou-to-naru-saikyou-gedou-last-boss-joou-wa-tami-no-tame-ni-tsukushimasu-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-10/
Lv1 Maou to One Room Yuusha,https://anime4up.rest/episode/lv1-maou-to-one-room-yuusha-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-10/
Rurouni Kenshin: Meiji Kenkaku Romantan (2023),https://anime4up.rest/episode/rurouni-kenshin-meiji-kenkaku-romantan-2023-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-10/
"Seija Musou: Salaryman, Isekai de Ikinokoru Tame ni Ayumu Michi",https://anime4up.rest/episode/seija-musou-salaryman-isekai-de-ikinokoru-tame-ni-ayumu-michi-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-10/
Jujutsu Kaisen 2nd Season,https://anime4up.rest/episode/jujutsu-kaisen-2nd-season-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-7/
Spy Kyoushitsu 2nd Season,https://anime4up.rest/episode/spy-kyoushitsu-2nd-season-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-8/
Undead Girl Murder Farce,https://anime4up.rest/episode/undead-girl-murder-farce-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-10/
Shiro Seijo to Kuro Bokushi,https://anime4up.rest/episode/shiro-seijo-to-kuro-bokushi-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-9/
Niehime to Kemono no Ou,https://anime4up.rest/episode/niehime-to-kemono-no-ou-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-21/
Watashi no Shiawase na Kekkon,https://anime4up.rest/episode/watashi-no-shiawase-na-kekkon-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-10/
Bungou Stray Dogs 5th Season,https://anime4up.rest/episode/bungou-stray-dogs-5th-season-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-9/
Edens Zero 2nd Season,https://anime4up.rest/episode/edens-zero-2nd-season-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-22/
Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou,https://anime4up.rest/episode/jidou-hanbaiki-ni-umarekawatta-ore-wa-meikyuu-wo-samayou-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-10/
Level 1 dakedo Unique Skill de Saikyou desu,https://anime4up.rest/episode/level-1-dakedo-unique-skill-de-saikyou-desu-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-8/
Suki na Ko ga Megane wo Wasureta,https://anime4up.rest/episode/suki-na-ko-ga-megane-wo-wasureta-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-10/
Yumemiru Danshi wa Genjitsushugisha,https://anime4up.rest/episode/yumemiru-danshi-wa-genjitsushugisha-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-10/
Synduality: Noir,https://anime4up.rest/episode/synduality-noir-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-9/
Okashi na Tensei,https://anime4up.rest/episode/okashi-na-tensei-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-11/
Dark Gathering,https://anime4up.rest/episode/dark-gathering-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-9/
Cardfight!! Vanguard: will+Dress Season 3,https://anime4up.rest/episode/cardfight-vanguard-willdress-season-3-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-8/
Mononogatari 2nd Season,https://anime4up.rest/episode/mononogatari-2nd-season-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-10/
Hataraku Maou-sama!! 2nd Season,https://anime4up.rest/episode/hataraku-maou-sama-2nd-season-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-6/
Hataraku Maou-sama!! 2nd Season,https://anime4up.rest/episode/hataraku-maou-sama-2nd-season-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-5/
Masamune-kun no Revenge R,https://anime4up.rest/episode/masamune-kun-no-revenge-r-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-10/
Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,https://anime4up.rest/episode/zom-100-zombie-ni-naru-made-ni-shitai-100-no-koto-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-7/
Genjitsu no Yohane: Sunshine in the Mirror,https://anime4up.rest/episode/genjitsu-no-yohane-sunshine-in-the-mirror-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-11/
Mushoku Tensei II: Isekai Ittara Honki Dasu,https://anime4up.rest/episode/mushoku-tensei-ii-isekai-ittara-honki-dasu-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-9/
Eiyuu Kyoushitsu,https://anime4up.rest/episode/eiyuu-kyoushitsu-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-9/
Shinigami Bocchan to Kuro Maid 2nd Season,https://anime4up.rest/episode/shinigami-bocchan-to-kuro-maid-2nd-season-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-9/
5-toubun no Hanayome∽,https://anime4up.rest/episode/5-toubun-no-hanayome%e2%88%bd-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-%d8%a7%d9%84%d8%ae%d8%a7%d8%b5%d8%a9-1/
One Piece,https://anime4up.rest/episode/one-piece-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-1074/
Detective Conan,https://anime4up.rest/episode/detective-conan-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-1095/
"Jitsu wa Ore, Saikyou deshita?",https://anime4up.rest/episode/jitsu-wa-ore-saikyou-deshita-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-8/
Dekiru Neko wa Kyou mo Yuuutsu,https://anime4up.rest/episode/dekiru-neko-wa-kyou-mo-yuuutsu-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-9/
Uchi no Kaisha no Chiisai Senpai no Hanashi,https://anime4up.rest/episode/uchi-no-kaisha-no-chiisai-senpai-no-hanashi-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-8/
Ayaka,https://anime4up.rest/episode/ayaka-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-10/
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou II",https://anime4up.rest/episode/maou-gakuin-no-futekigousha-shijou-saikyou-no-maou-no-shiso-tensei-shite-shison-tachi-no-gakkou-e-kayou-ii-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-9/
Ryza no Atelier: Tokoyami no Joou to Himitsu no Kakurega,https://anime4up.rest/episode/ryza-no-atelier-tokoyami-no-joou-to-himitsu-no-kakurega-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-10/
Temple,https://anime4up.rest/episode/temple-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-9/
Horimiya: Piece,https://anime4up.rest/episode/horimiya-piece-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-10/
Level 1 dakedo Unique Skill de Saikyou desu مدبلج,https://anime4up.rest/episode/level-1-dakedo-unique-skill-de-saikyou-desu-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-9-%d9%85%d8%af%d8%a8%d9%84%d8%ac%d8%a9-%d9%84%d9%84%d8%b9%d8%b1%d8%a8%d9%8a%d8%a9/
Liar Liar,https://anime4up.rest/episode/liar-liar-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-10/
"Mix: Meisei Story - Nidome no Natsu, Sora no Mukou e",https://anime4up.rest/episode/mix-meisei-story-nidome-no-natsu-sora-no-mukou-e-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-21/
AI no Idenshi,https://anime4up.rest/episode/ai-no-idenshi-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-8/
"Kanojo, Okarishimasu 3rd Season",https://anime4up.rest/episode/kanojo-okarishimasu-3rd-season-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-8/
Nanatsu no Maken ga Shihai suru,https://anime4up.rest/episode/nanatsu-no-maken-ga-shihai-suru-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-9/
Sugar Apple Fairy Tale Part 2,https://anime4up.rest/episode/sugar-apple-fairy-tale-part-2-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-9/
Shiguang Dailiren II,https://anime4up.rest/episode/shiguang-dailiren-ii-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-9/
Higeki no Genkyou to Naru Saikyou Gedou Last Boss Joou wa Tami no Tame ni Tsukushimasu.,https://anime4up.rest/episode/higeki-no-genkyou-to-naru-saikyou-gedou-last-boss-joou-wa-tami-no-tame-ni-tsukushimasu-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-9/
Dekiru Neko wa Kyou mo Yuuutsu,https://anime4up.rest/episode/dekiru-neko-wa-kyou-mo-yuuutsu-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-8/
"Seija Musou: Salaryman, Isekai de Ikinokoru Tame ni Ayumu Michi",https://anime4up.rest/episode/seija-musou-salaryman-isekai-de-ikinokoru-tame-ni-ayumu-michi-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-9/
Rurouni Kenshin: Meiji Kenkaku Romantan (2023),https://anime4up.rest/episode/rurouni-kenshin-meiji-kenkaku-romantan-2023-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-9/
Jujutsu Kaisen 2nd Season,https://anime4up.rest/episode/jujutsu-kaisen-2nd-season-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-6/
BanG Dream! It's MyGO!!!!!,https://anime4up.rest/episode/bang-dream-its-mygo-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-12/
